ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,71.20947781000001,58.18435778618643,76.45111781728777,71.20947781000001,71.20947781000001,-3.561514842859539,-3.561514842859539,-3.561514842859539,-4.263616263139592,-4.263616263139592,-4.263616263139592,0.7021014202800527,0.7021014202800527,0.7021014202800527,0.0,0.0,0.0,67.64796296714047
2021-01-02,71.21040308656876,51.845316564079525,70.63688302698868,71.21040308656876,71.21040308656876,-9.801585290080608,-9.801585290080608,-9.801585290080608,-10.532135729617178,-10.532135729617178,-10.532135729617178,0.7305504395365692,0.7305504395365692,0.7305504395365692,0.0,0.0,0.0,61.40881779648815
2021-01-03,71.21132836313754,54.27635253912942,71.82201155895531,71.21132836313754,71.21132836313754,-8.125191800449603,-8.125191800449603,-8.125191800449603,-8.873444324009132,-8.873444324009132,-8.873444324009132,0.7482525235595291,0.7482525235595291,0.7482525235595291,0.0,0.0,0.0,63.08613656268794
2021-01-04,71.2122536397063,63.61199074710949,81.52545109660213,71.2122536397063,71.2122536397063,1.1872546266799624,1.1872546266799624,1.1872546266799624,0.4289321326407161,0.4289321326407161,0.4289321326407161,0.7583224940392465,0.7583224940392465,0.7583224940392465,0.0,0.0,0.0,72.39950826638626
2021-01-05,71.21317891627508,70.76234490483067,88.65412312550451,71.21317891627508,71.21317891627508,8.537487863328876,8.537487863328876,8.537487863328876,7.773461523604133,7.773461523604133,7.773461523604133,0.764026339724744,0.764026339724744,0.764026339724744,0.0,0.0,0.0,79.75066677960396
2021-01-06,71.21410419284383,73.51747135496616,91.68971325270203,71.21410419284383,71.21410419284383,11.338798497220369,11.338798497220369,11.338798497220369,10.570103058144502,10.570103058144502,10.570103058144502,0.7686954390758678,0.7686954390758678,0.7686954390758678,0.0,0.0,0.0,82.5529026900642
2021-01-07,71.2150294694126,67.46950082614325,85.8118259006544,71.2150294694126,71.2150294694126,5.672339501021935,5.672339501021935,5.672339501021935,4.896699602421609,4.896699602421609,4.896699602421609,0.7756398986003257,0.7756398986003257,0.7756398986003257,0.0,0.0,0.0,76.88736897043454
2021-01-08,71.21595474598138,59.09599271106397,77.12809295952327,71.21595474598138,71.21595474598138,-3.4755529658336317,-3.4755529658336317,-3.4755529658336317,-4.263616263147011,-4.263616263147011,-4.263616263147011,0.7880632973133793,0.7880632973133793,0.7880632973133793,0.0,0.0,0.0,67.74040178014775
2021-01-09,71.21688002255014,52.67656841177711,71.02503294395063,71.21688002255014,71.21688002255014,-9.723154656243581,-9.723154656243581,-9.723154656243581,-10.532135729618464,-10.532135729618464,-10.532135729618464,0.8089810733748828,0.8089810733748828,0.8089810733748828,0.0,0.0,0.0,61.49372536630656
2021-01-10,71.21780529911891,53.8294970927119,72.34119292888425,71.21780529911891,71.21780529911891,-8.032299649873458,-8.032299649873458,-8.032299649873458,-8.873444324030663,-8.873444324030663,-8.873444324030663,0.8411446741572052,0.8411446741572052,0.8411446741572052,0.0,0.0,0.0,63.18550564924545
